3271,2252,3883,4310,56,3595,2667,1455,3259,614,349,264,1443,4299,2218,2614,2715,1660,2560,264,1443,1994,2878,3843,1050,3877,1082,87,3883,1336,565,22,2328,752,3826,2272,2842,4319,3972,302,1315,498,3587,3972,223,3577,3675,2614,4286,2601,2328,193,1748,927,1500,3972,3904,3747,844,4196,3991,2556,2993,87,1819,1703,2640,2640,2640,3595,4144,2328,4373,4144,2225,2162,3936,2953,2656,87,3847,956,3792,1364,3397,3880,328,1283,1097,568,1107,3904,3437,2248,87,1364,3595,927,436,2424,2640,2640,3972,56,3417,4144,2328,4373,4374,2320,2614,961,927,1483,2887,4374,2320,3233,3843,3271,2034,4120,927,879,3786,2100,4292,2614,2681,1913,4010,1163,590,1639,4218,87,3057,2874,2614,172,751,4010,4210,2276,2789,4356,87,4398,3693,614	0
3936,1663,2681,2276,3880,4144,212,2466,87,3096,1989,1823,2419,4310,2919,375,2681,4120,3595,542,2375,590,4296,2336,3595,87,865,868,442,2683,2683,4127,3563	1
734,646,3861,1939,2375,2685,1771,3405,2887,734,1283,755,886,4401,1657,1166,2506,3614,87,1674,2697,2943,4182,3837,2453,3843,3062,730,654,4310,598,2359,243,755,2587,1882,2919,531,2264,3262,1226,772,1366,148,2939,148,956,4310,4023,2754,3157,3156,3869,3262,1930,620,4196,709,1930,2718,2608,709,2560,646,3861,1939,1242,3714,1116,3843,2560,1226,894,2715,2906,1315,1394,3843	1
3271,1556,755,3595,877,389,87,3832,814,1776,2963,614,2581,1500,2681,1028,1374,3904,2466,212,2212,1595,2466,572,3904,2466,787,2673,4259,532,212,3880,3969,54,3145,683,590,4296,2387,4024,646,1500,2681,3772,2133,3307,1888,1242,739,3360,87,1888,2465,4259,3588,4121,3623,1921,1232,3588,3638,1888,1242,3869,2387,4024,743,1500,3588,4144,2359,2156,2336,87,1732,4259,2100,79,3623,1921,56,1364,416,2359,2156,2387,4024,3289,1500,56,4144,2681,3638,716,1732,2681,56,2133,4259,223,2451,1040,2336,3595,1455,1732,3646,3040,2387,4024,3832,1500,2681,3069,2953,532,1408,2867,3576,1051,144,2133,3869,4259,1390,1390,3904,1366,3181,3596,4121,3822,1289,313,2887,2387	1
2319,3714,886,3902,3348,2627,3107,4153,79,2665,3107,1283,4374,965,1468,3659,1283,683,3089,3403,2600,3262,3262,3262,1235,3578,1366,4293,2155,2789,3822,2581,743,2308,2308,595,4069,3262,3262,3262,2560,1131,879,2686,93,2328,303,2375,2685,3843,2560,138,1373,4253	0
3354,4015,3578,1315,2719,916,4270,3220,2581,3883,148,2237,1413,200,3058,1052,3058,2602,1588,3683,4310,1547,814,1588,3683,4243,472,886,2581,4310,2390,3220,2581,2308,4069,1319,3220,4024,646,481,668,4392,1141,1588,3683,4310,2581,2308,2308,4392,2137,223,3470,3683,4310,3653,2308,2308,4392,3832,4069,4310,3653,2308,2308,1461,2581,646,2308,2308,4392,2581,2308,4069,4310,3777,542,2581,646,2308,2308,4392,930,4392,1588,1547,2662,2663,442	0
3271,2116,1763,906,614,2715,1660,326,3576,757,2297,3566,1780,3762,400,2212,4019,2116,1763,906,399,2971,279,4310,4019,2116,1763,906,399,4310,1366,2225,2458,1315,927,4305,289,9,358,481,3814,430,82,3770,87,4019,906,1591,399,3063,865,2600,442,1366,2225,1364,1336,865,4019,2116,1763,906,399,87,1315,4190,4310,208,729,2375,4121,56,3437,1364,4010,1040,87,927,1138,2324,1591,906,1591,2600,442,1471,4010,771,3665,930,1051,1622,1013,4019,2116,1763,906,399,4310,208,2299,4019,2116,1763,906,399,4310,1154,1455,4023,2910,3904,1366,3612,1226,906,1591,87,3847,1702,4069,3262,2116,1763,906,4310,208,2212,2127,3858,112,1536,1965,906,3262	0
3587,1746,3880,3517,2336,2133,2919,1746,2769,481,1364,2919,2319,4010,1300,87,1888,2465,4310,4120,2875,3327,1289,1771,3948,2885,4310,2365,3995,3058,2602,328,531,1663,2336,2133,1238,1663,2359,2553,442,172,927,224,3927,1364,3921,1163,4010,56,1455,4310,369,2600,416,1238,1663,2359,2553,2583,1965,77,4113,56,1364,416,2793,3007,4310,1771,3948,1483,4311,3595,2248,1520,1732,442,4040,660,3107,3643,3772,3595,192,2133,965,2919,2717,4310,4120,56,572,2600,442,4335,546,2117,2133,965,1226,3338,1483,56,572,2600,2600,442,3158,384,1050,886,4019,3643,3936,531,1386,1152,416,3804,4310,3455,3255,4010,231,3563,572,506,442,399,4129,3411,400,1364,4325,2100,376,4131,3921,442	1
3946,1307,771,3338,83,3309,1462,853,3922,1829,1613,223,772,115,4071,534,934,423,2147,1144,2018,4323,803,2423,2423,400,317,2963,3843,734,3338,83,3309,734,4310,4093,3488,2390,1051,4310,3307,1829,223,3275,3818,2632,4319,1235,1587,3029,1754,2537,2714,4310,115,4071,3042,2371,3843,853,3843,3922,1489,1241,477,534,4310,236,4142,2294,3388,2715,2908,4310,734,115,934,934,734,3843,1366,2939,1300,3743,442,1051,2435,1581,951,4310,751,4010,2919,4310,3772,4010,1004,3262,3843	0
2212,2600,192,87,2158,1278,3786,3908,1374,1547,2662,4385,322,1512,977,1635,886,4289,4221,87,2375,2715,867,4276,442,3843,1491,3232,3232,730,3877,1319,1319,3232,1500,4249,4182,1319,1491,121,1409,1409,3477,3490	1
